EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
142510;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;23;955973,21;865156,53;493252,14;141272,05;INMOBILIARIA
62916;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;5;1221739,74;828726,92;716613,16;140608,23;INMOBILIARIA
4226;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;6;7568394,39;6953708,86;1182604,04;140578,5;INMOBILIARIA
155668;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;7;7224012,44;2303949,24;731900;138668,76;INMOBILIARIA
156408;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;9;3318262,26;2002471,69;991081,22;137570,23;INMOBILIARIA
58875;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;2758248,91;579036,61;647963,18;136840,77;INMOBILIARIA
103605;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;4;2330327,09;186211,97;1637955,07;136710,03;INMOBILIARIA
50027;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;6;5199206,29;4302143,67;987909,52;133842,46;INMOBILIARIA
38234;ANÓNIMA;COSTA;EL ORO;MACHALA;PEQUEÑA;SOCIETARIO;4;1282144,61;517536,62;754750;132740,37;INMOBILIARIA
24082;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;653527,22;592732,68;0;131059,46;INMOBILIARIA
128971;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;228881,23;197088,15;0;129774,73;INMOBILIARIA
