AÑO;EXPEDIENTE;FIRMA;BIG4;PATRIMONIO;CAPITAL_SOCIAL;EBIT;PRECIO_ACCION;NO_ACCIONES;PAT_ACCIONES;EBIT_ACCIONES;SECTOR
2015;109025;MOORE STEPHENS;No;4110684,67;90000;454106,41;37,5;90000;45,67427411;5,045626778;AGRICULTURA
2015;169039;DELOITTE;Sí;4783832,45;2350000;2564981,11;2,6;2350000;2,035673383;1,091481323;AGRICULTURA
2015;2234;KPMG;Sí;166628416;130000000;18640112,48;1,49;130000000;1,281757046;0,143385481;MANUFACTURA
2016;707178;BDO;No;9372188,41;9070000;387422,45;1000;9070;1033,317355;42,71471334;INMOBILIARIA
2016;141574;MOORE STEPHENS;No;2286359,13;150000;150463,1;15,4;150000;15,2423942;1,003087333;AGRICULTURA
2016;118604;MOORE STEPHENS;No;3960201,47;100000;369722,3;33;100000;39,6020147;3,697223;AGRICULTURA
2016;2448;MOORE STEPHENS;No;194308138;20490472;212012530,2;66,6;20490472;9,482853201;10,34688367;MANUFACTURA
2016;407;KPMG;Sí;82172334;68852392;8007682,68;1;68852392;1,193456489;0,116302171;MANUFACTURA
2016;384;PWC PRICE WATER HOUSE COOPERS;Sí;1097720533;545000000;215624974,8;2,3;545000000;2,014166116;0,395642156;COMERCIO
2016;4312;PWC PRICE WATER HOUSE COOPERS;Sí;47666623,8;21000000;11359962,17;5,15;21000000;2,269839229;0,54095058;MANUFACTURA
2016;126262;MOORE STEPHENS;No;4092837,65;125000;333069,68;27;125000;32,7427012;2,66455744;AGRICULTURA
2016;130459;MOORE STEPHENS;No;3460058,98;135000;287333,39;21,5;135000;25,63006652;2,128395481;AGRICULTURA
2016;112126;MOORE STEPHENS;No;4259425,03;90000;450371,75;35;90000;47,32694478;5,004130556;AGRICULTURA
2016;2308;DELOITTE;Sí;347925179;102405104;165510362,1;68;20481020,8;16,9876874;8,081157854;MANUFACTURA
2016;677;PWC PRICE WATER HOUSE COOPERS;Sí;73560332,4;39600000;0;1;39600000;1,857584152;0;MANUFACTURA
2016;123003;MOORE STEPHENS;No;3743162,73;100000;312991,78;29;100000;37,4316273;3,1299178;AGRICULTURA
2016;29702;MOORE STEPHENS;No;3963450,72;200000;323424;16,5;200000;19,8172536;1,61712;AGRICULTURA
2016;144907;MOORE STEPHENS;No;5372892,1;350000;283938,95;14;350000;15,35112029;0,811254143;AGRICULTURA
2016;179227;DELOITTE;Sí;4959225,15;2500000;993925,21;2,6;2500000;1,98369006;0,397570084;AGRICULTURA
2016;134097;MOORE STEPHENS;No;3287008,89;150000;255605,19;19;150000;21,9133926;1,7040346;AGRICULTURA
2016;115840;MOORE STEPHENS;No;3742164,17;90000;405063,59;32,75;90000;41,57960189;4,500706556;AGRICULTURA
2016;137413;MOORE STEPHENS;No;4202774,45;240000;266546,53;17;240000;17,51156021;1,110610542;AGRICULTURA
2016;139289;MOORE STEPHENS;No;4776179,38;1900000;172726,86;2,3;1900000;2,513778621;0,090908874;AGRICULTURA
2016;105736;MOORE STEPHENS;No;3907442,78;80000;131134,51;40;80000;48,84303475;1,639181375;AGRICULTURA
2016;106155;NGV;No;2515701,69;981000;9980,25;3,9;981000;2,56442578;0,010173547;AGRICULTURA
2016;109025;MOORE STEPHENS;No;4464117,84;90000;453390,2;38,5;90000;49,60130933;5,037668889;AGRICULTURA
2016;169039;DELOITTE;Sí;5075588,72;2350000;375242,41;2,6;2350000;2,159824987;0,159677621;AGRICULTURA
2016;2234;KPMG;Sí;53109646;25677000;1669789,03;1,15;25677000;2,068374265;0,065030534;MANUFACTURA
2016;1814;ERNST & YOUNG;Sí;115934375;1717204,32;63759873,9;10,5;42930108;2,700537697;1,485201805;MANUFACTURA
