EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
303495;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;1134,45;42,04;10280,22;-1077,48;MANUFACTURA
136025;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;56495,81;46150,53;10801;-1092,85;MANUFACTURA
117203;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;5;101819,2;34799,68;0;-1101,64;MANUFACTURA
42273;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;159044,72;135145,16;0;-1145,57;MANUFACTURA
712398;RESPONSABILIDAD LIMITADA;SIERRA;TUNGURAHUA;AMBATO;MICROEMPRESA;SOCIETARIO;9;82847,03;-887,68;8845,27;-1155,17;MANUFACTURA
86119;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;6;3120,99;3120,99;0;-1158,01;MANUFACTURA
718374;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;13;533990,75;10744,01;158816,68;-1175,99;MANUFACTURA
303778;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;3992,41;3992,41;15186,87;-1188,22;MANUFACTURA
310479;ANÓNIMA;SIERRA;CHIMBORAZO;RIOBAMBA;MICROEMPRESA;SOCIETARIO;2;3601,7;-406,49;361,26;-1206,49;MANUFACTURA
700795;ANÓNIMA;COSTA;MANABI;MANTA;MICROEMPRESA;SOCIETARIO;5;38123,52;16568,06;75279,5;-1213,22;MANUFACTURA
720405;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;7;124827,56;124573,32;0;-1226,68;MANUFACTURA
310149;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;552,5;-1034,28;0;-1234,28;MANUFACTURA
84793;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;20;206190,75;177638,66;314629,99;-1237,58;MANUFACTURA
713051;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;3;2369,7;279,32;0;-1240,68;MANUFACTURA
702024;ANÓNIMA;SIERRA;AZUAY;CUENCA;MICROEMPRESA;SOCIETARIO;2;1252,57;-9467,2;0;-1252,57;MANUFACTURA
76872;ANÓNIMA;COSTA;GUAYAS;ELOY ALFARO (DURAN);MICROEMPRESA;SOCIETARIO;6;17022,27;12897,53;0;-1272,24;MANUFACTURA
162828;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;0;-41906,23;0;-1276,1;MANUFACTURA
137089;RESPONSABILIDAD LIMITADA;SIERRA;IMBABURA;IBARRA;PEQUEÑA;SOCIETARIO;4;5688,88;5688,88;0;-1286,84;MANUFACTURA
88088;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;3;338007,12;251543,54;307930,14;-1292,95;MANUFACTURA
146934;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;4691,74;-14267,75;1215,58;-1299,43;MANUFACTURA
